rank,deck_id,class,wins,losses,draws,crashes,games,winrate
1,WARLOCK_3,WARLOCK,1984,196,0,0,2180,0.9101
2,WARLOCK_7,WARLOCK,1983,195,2,0,2180,0.9096
3,MAGE_0,MAGE,1958,221,1,0,2180,0.8982
4,SHAMAN_8,SHAMAN,1918,262,0,0,2180,0.8798
5,HUNTER_0,HUNTER,1855,320,5,0,2180,0.8509
6,MAGE_3,MAGE,1822,358,0,0,2180,0.8358
7,SHAMAN_2,SHAMAN,1817,359,4,0,2180,0.8335
8,WARLOCK_2,WARLOCK,1814,365,1,0,2180,0.8321
9,SHAMAN_0,SHAMAN,1810,370,0,0,2180,0.8303
10,MAGE_9,MAGE,1810,367,3,0,2180,0.8303
11,MAGE_4,MAGE,1802,376,2,0,2180,0.8266
12,SHAMAN_9,SHAMAN,1759,421,0,0,2180,0.8069
13,WARLOCK_1,WARLOCK,1758,419,3,0,2180,0.8064
14,MAGE_5,MAGE,1677,503,0,0,2180,0.7693
15,HUNTER_8,HUNTER,1672,506,2,0,2180,0.767
16,HUNTER_5,HUNTER,1663,513,4,0,2180,0.7628
17,SHAMAN_6,SHAMAN,1661,516,3,0,2180,0.7619
18,MAGE_2,MAGE,1631,548,1,0,2180,0.7482
19,SHAMAN_3,SHAMAN,1620,559,1,0,2180,0.7431
20,WARLOCK_8,WARLOCK,1611,567,2,0,2180,0.739
21,HUNTER_1,HUNTER,1595,585,0,0,2180,0.7317
22,WARLOCK_9,WARLOCK,1589,590,1,0,2180,0.7289
23,DEATHKNIGHT_5,DEATHKNIGHT,1580,595,5,0,2180,0.7248
24,DEATHKNIGHT_6,DEATHKNIGHT,1561,618,1,0,2180,0.7161
25,HUNTER_2,HUNTER,1548,631,1,0,2180,0.7101
26,SHAMAN_1,SHAMAN,1537,639,4,0,2180,0.705
27,DEATHKNIGHT_0,DEATHKNIGHT,1527,651,2,0,2180,0.7005
28,HUNTER_3,HUNTER,1519,658,3,0,2180,0.6968
29,HUNTER_4,HUNTER,1507,673,0,0,2180,0.6913
30,SHAMAN_7,SHAMAN,1500,678,2,0,2180,0.6881
31,WARLOCK_5,WARLOCK,1488,687,5,0,2180,0.6826
32,SHAMAN_5,SHAMAN,1487,691,2,0,2180,0.6821
33,MAGE_6,MAGE,1423,754,3,0,2180,0.6528
34,DEATHKNIGHT_8,DEATHKNIGHT,1364,814,2,0,2180,0.6257
35,HUNTER_7,HUNTER,1355,822,3,0,2180,0.6216
36,WARLOCK_0,WARLOCK,1354,824,2,0,2180,0.6211
37,DEMONHUNTER_5,DEMONHUNTER,1339,838,3,0,2180,0.6142
38,DEATHKNIGHT_4,DEATHKNIGHT,1315,863,2,0,2180,0.6032
39,PALADIN_1,PALADIN,1305,870,5,0,2180,0.5986
40,PALADIN_8,PALADIN,1288,889,3,0,2180,0.5908
41,WARLOCK_4,WARLOCK,1277,898,5,0,2180,0.5858
42,WARLOCK_6,WARLOCK,1264,912,4,0,2180,0.5798
43,MAGE_1,MAGE,1247,930,3,0,2180,0.572
44,WARRIOR_0,WARRIOR,1244,936,0,0,2180,0.5706
