CardID	Name	Text
AT_032	Shady Dealer	Battlecry: If you have a Pirate, gain +1/+1.
AT_038	Darnassus Aspirant	Battlecry: Gain an empty Mana Crystal. Deathrattle: Lose a Mana Crystal.
AT_040	Wildwalker	Battlecry: Give a friendly Beast +3 Health.
AT_046	Tuskarr Totemic	Battlecry: Summon a random basic Totem.
AT_047	Draenei Totemcarver	Battlecry: Gain +1/+1 for each friendly Totem.
AT_049	Thunder Bluff Valiant	Battlecry and Inspire: Give your Totems +2 Attack.
AT_054	The Mistcaller	Battlecry: Give all minions in your hand and deck +1/+1.
AT_057	Stablemaster	Battlecry: Give a friendly Beast Immune this turn.
AT_058	King's Elekk	Battlecry: Reveal a minion in each deck. If yours costs more, draw it.
AT_065	King's Defender	Battlecry: If you have a minion with Taunt, gain +1 Durability.
AT_069	Sparring Partner	Taunt Battlecry: Give a minion Taunt.
AT_071	Alexstrasza's Champion	Battlecry: If you're holding a Dragon, gain +1 Attack and Charge.
AT_072	Varian Wrynn	Battlecry: Draw 3 cards. Put any minions you drew directly into the battlefield.
AT_077	Argent Lance	Battlecry: Reveal a minion in each deck. If yours costs more, +1 Durability.
AT_079	Mysterious Challenger	Battlecry: Put one of each Secret from your deck into the battlefield.
AT_081	Eadric the Pure	Battlecry: Change all enemy minions' Attack to 1.
AT_084	Lance Carrier	Battlecry: Give a friendly minion +2 Attack.
AT_086	Saboteur	Battlecry: Your opponent's Hero Power costs (5) more next turn.
AT_094	Flame Juggler	Battlecry: Deal 1 damage to a random enemy.
AT_096	Clockwork Knight	Battlecry: Give a friendly Mech +1/+1.
AT_098	Sideshow Spelleater	Battlecry: Copy your opponent's Hero Power.
AT_104	Tuskarr Jouster	Battlecry: Reveal a minion in each deck. If yours costs more, restore #7 Health to your hero.
AT_105	Injured Kvaldir	Battlecry: Deal 3 damage to this minion.
AT_106	Light's Champion	Battlecry: Silence a Demon.
AT_108	Armored Warhorse	Battlecry: Reveal a minion in each deck. If yours costs more, gain Charge.
AT_111	Refreshment Vendor	Battlecry: Restore #4 Health to each hero.
AT_112	Master Jouster	Battlecry: Reveal a minion in each deck. If yours costs more, gain Taunt and Divine Shield.
AT_115	Fencing Coach	Battlecry: The next time you use your Hero Power, it costs (2) less.
AT_116	Wyrmrest Agent	Battlecry: If you're holding a Dragon, gain +1 Attack and Taunt.
