CardID	Name	Text
AT_079	Mysterious Challenger	<b>Battlecry:</b> Put one of each <b>Secret</b> from your deck into the battlefield.
AT_098	Sideshow Spelleater	<b>Battlecry:</b> Copy your opponent's Hero Power.
AT_132	Justicar Trueheart	<b>Battlecry:</b> Replace your starting Hero Power with a better one.
AV_100	Drek'Thar	[x]<b>Battlecry</b>: If this costs more than every minion in your deck, summon one of those minions.
AV_113	Beaststalker Tavish	[x]<b>Battlecry:</b> <b>Discover</b> and cast 2 Improved <b>Secrets</b>.
AV_114	Shivering Sorceress	[x]<b>Battlecry:</b> Reduce the Cost of the highest Cost spell in your hand by (1).
AV_136	Kobold Taskmaster	[x]<b>Battlecry:</b> Add 2 Armor Scraps to your hand that give +2 Health to a minion.
AV_138	Grimtotem Bounty Hunter	<b>Battlecry:</b> Destroy an enemy <b>Legendary</b> minion.
AV_200	Magister Dawngrasp	[x]<b>Battlecry:</b> Recast a spell from each spell school you've cast this game.
AV_202	Rokara, the Valorous	<b>Battlecry:</b> Equip a 5/2 Unstoppable Force.
AV_203	Shadowcrafter Scabbs	[x]<b>Battlecry:</b> Return all minions to their owner's hands. Summon two 4/2 Shadows with <b>Stealth</b>.
AV_204	Kurtrus, Demon-Render	[x]<b>Battlecry:</b> Summon two @/4 Demons with <b>Rush</b>. <i>(Improved by your hero attacks this game.)</i>
AV_207	Xyrella, the Devout	[x]<b>Battlecry:</b> Trigger the <b>Deathrattle</b> of every friendly minion that died this game.
AV_210	Pathmaker	[x]<b>Battlecry:</b> Cast the other choice from the last <b>Choose One</b> spell you've cast. @<b>Battlecry:</b> {0}
AV_219	Ram Commander	[x]<b>Battlecry:</b> Add two 1/1 Rams with <b>Rush</b> to your hand.
AV_223	Vanndar Stormpike	[x]<b>Battlecry</b>: If this costs less than every minion in your deck, reduce their Cost by (3).
AV_256	Reflecto Engineer	<b>Battlecry:</b> Swap the Attack and Health of all minions in both players' hands.
AV_258	Bru'kan of the Elements	[x]<b>Battlecry:</b> Call upon the power of two Elements!
AV_260	Sleetbreaker	<b>Battlecry:</b> Add a Windchill to your hand.
AV_262	Warden of Chains	[x]<b>Taunt</b> <b>Battlecry:</b> If you're holding a Demon that costs (5) or more, gain +1/+2.
AV_267	Caria Felsoul	<b>Battlecry:</b> Transform into a 6/6 copy of a Demon in your deck.
AV_284	Balinda Stonehearth	<b>Battlecry:</b> Draw 2 spells. Swap their Costs with this minion's stats.
AV_286	Felwalker	<b>Taunt</b>. <b>Battlecry</b>: Cast the highest Cost Fel spell from your hand.
