CardID	Name	Text
AT_032	Shady Dealer	Battlecry: If you have a Pirate, gain +1/+1.
AT_038	Darnassus Aspirant	Battlecry: Gain an empty Mana Crystal. Deathrattle: Lose a Mana Crystal.
AT_040	Wildwalker	Battlecry: Give a friendly Beast +3 Health.
AT_046	Tuskarr Totemic	Battlecry: Summon a random basic Totem.
AT_047	Draenei Totemcarver	Battlecry: Gain +1/+1 for each friendly Totem.
AT_049	Thunder Bluff Valiant	Battlecry and Inspire: Give your Totems +2 Attack.
AT_054	The Mistcaller	Battlecry: Give all minions in your hand and deck +1/+1.
AT_057	Stablemaster	Battlecry: Give a friendly Beast Immune this turn.
AT_065	King's Defender	Battlecry: If you have a minion with Taunt, gain +1 Durability.
AT_069	Sparring Partner	Taunt Battlecry: Give a minion Taunt.
AT_071	Alexstrasza's Champion	Battlecry: If you're holding a Dragon, gain +1 Attack and Charge.
AT_072	Varian Wrynn	Battlecry: Draw 3 cards. Put any minions you drew directly into the battlefield.
AT_084	Lance Carrier	Battlecry: Give a friendly minion +2 Attack.
AT_094	Flame Juggler	Battlecry: Deal 1 damage to a random enemy.
AT_096	Clockwork Knight	Battlecry: Give a friendly Mech +1/+1.
AT_105	Injured Kvaldir	Battlecry: Deal 3 damage to this minion.
AT_106	Light's Champion	Battlecry: Silence a Demon.
AT_111	Refreshment Vendor	Battlecry: Restore #4 Health to each hero.
AT_116	Wyrmrest Agent	Battlecry: If you're holding a Dragon, gain +1 Attack and Taunt.
AT_117	Master of Ceremonies	Battlecry: If you have a minion with Spell Damage, gain +2/+2.
AT_118	Grand Crusader	Battlecry: Add a random Paladin card to your hand.
AT_121	Crowd Favorite	Whenever you play a card with Battlecry, gain +1/+1.
AT_122	Gormok the Impaler	Battlecry: If you have at least 4 other minions, deal 4 damage.
AV_100	Drek'Thar	[x]Battlecry: If this costs more than every minion in your deck, summon one of those minions.
AV_101	Herald of Lokholar	Battlecry: Draw a Frost spell.
AV_112	Snowblind Harpy	Battlecry: If you're holding a Frost spell, gain 5 Armor.
AV_125	Tower Sergeant	Battlecry: If you control at least 2 other minions, gain +2/+2.
AV_126	Bunker Sergeant	[x]Battlecry: If your opponent has 2 or more minions, deal 1 damage to all enemy minions.
AV_131	Knight-Captain	[x]Battlecry: Deal 3 damage. Honorable Kill: Gain +3/+3.
