feature,importance
card_CORE_EX1_145,0.08589257
avg_attack,0.07712958
card_TLC_603,0.044100203
num_minions,0.041293647
card_TLC_252,0.039556112
card_SC_015,0.030741718
card_CORE_TSC_827,0.028697446
num_spells,0.02732824
class_name_PALADIN,0.027289018
card_TLC_249,0.026787067
card_CORE_CS2_188,0.022037318
card_VAC_938,0.019221708
card_TLC_427,0.018691769
num_heroes,0.017427964
card_VAC_440,0.017167509
card_EDR_469,0.016970621
card_EDR_979,0.016215675
card_TTN_479,0.014070712
card_END_033,0.013864022
num_weapons,0.0136654
avg_health,0.013493196
card_END_004,0.013491234
card_YOP_031,0.012910277
card_TOY_530,0.01213314
card_TIME_058,0.012036747
card_WORK_027,0.01200373
card_TLC_100,0.010812249
card_EDR_492,0.010620534
card_CORE_REV_023,0.010594408
card_EDR_852,0.0099668065
card_SC_004,0.009861407
card_CORE_CS2_231,0.009798572
card_CORE_REV_957,0.0096484125
card_CORE_REV_906,0.008447499
card_DEEP_034,0.008220124
card_TLC_248,0.00749105
card_RLK_970,0.0073824995
card_VAC_702,0.0072691073
card_TIME_064,0.0071119945
card_SC_750,0.006591418
card_TIME_045,0.006518817
card_SC_753,0.00598743
card_EDR_572,0.0058316947
card_RLK_834,0.005567811
class_name_HUNTER,0.005566559
card_WW_423,0.0052460865
card_CORE_EX1_586,0.005209677
card_EDR_800,0.0051930044
card_TOY_386,0.0051790606
card_TLC_245,0.0050889445
card_CORE_REV_946,0.0050131315
card_DINO_410,0.0049956245
card_GDB_142,0.004839943
card_CORE_SCH_312,0.004827095
card_GDB_101,0.0047263904
card_RLK_218,0.004693302
card_TIME_003,0.0042030974
card_CORE_ULD_191,0.004196393
card_TOY_330,0.0038498847
card_RLK_222,0.0036623173
card_WW_391,0.0036596123
card_VAC_321,0.0036517112
card_END_007,0.003579284
card_WW_331,0.0035514173
card_EDR_000,0.003479858
card_ETC_080,0.003412159
card_CORE_EX1_059,0.0033924582
card_EDR_105,0.0033821163
card_JAM_036,0.0033715758
card_CORE_UNG_205,0.0033489165
card_TSC_052,0.003269968
card_VAC_532,0.0032365147
card_SC_783,0.003161045
card_CORE_MAW_033,0.003059063
card_EDR_260,0.002881653
card_SC_754,0.0027818324
card_TOY_006,0.0027314099
card_VAC_442,0.0024355757
card_CORE_EX1_012,0.0023170905
card_CORE_EX1_116,0.0021580632
card_EDR_846,0.0021543566
card_END_005,0.0021248679
card_TOY_518,0.0020533446
card_FIR_959,0.0019624452
avg_cost,0.0019567672
card_JAM_034,0.0016026417
card_GDB_463,0.0014649644
card_TLC_107,0.0012876287
card_WON_351,0.0012787925
card_EDR_856,0.0012055738
card_ETC_425,0.0011790053
card_BAR_854,0.001099812
card_TLC_106,0.0010812685
card_TOY_520,0.0010680513
card_GDB_435,0.0009543961
card_CORE_UNG_809,0.000903904
card_CORE_LOE_077,0.00082962494
card_CORE_TOY_100,0.00079892273
card_CORE_ULD_723,0.0007956825
card_VAC_304,0.0007750658
card_WORK_041,0.00077290327
card_TOY_644,0.0007269669
num_legendary,0.00072292145
card_CORE_CFM_790,0.0007194468
card_CORE_CS2_146,0.0006857343
card_FIR_929,0.00065572135
card_EDR_844,0.0005498794
card_VAC_959,0.0005425237
card_CORE_LOEA10_3,0.00052793755
card_CORE_EX1_014,0.00052256015
card_CATA_720,0.00051827886
card_TTN_751,0.00050954707
card_SC_401,0.00045066793
card_TOY_521,0.0004254878
card_CORE_RLK_505,0.0004060278
card_CORE_UNG_941,0.00039704176
card_CORE_FP1_007,0.00035379743
card_GDB_310,0.00033823482
card_CORE_DMF_511,0.00032892483
card_TLC_254,0.00030972465
card_WW_0700,0.0002968165
card_WON_365,0.00028782795
card_EX1_029,0.00027435936
card_VAC_955,0.00026219402
card_RLK_824,0.00026068624
card_TLC_468,0.00014008826
card_TSC_034,6.116207e-05
card_RLK_833,5.14373e-05
card_TSC_069,3.3652057e-05
card_TIME_056,0.0
card_SC_010,0.0
card_TIME_059,0.0
card_VAC_330,0.0
card_EDR_523,0.0
card_EDR_540,0.0
card_TLC_515,0.0
card_CORE_EX1_049,0.0
card_DINO_411,0.0
card_TLC_226,0.0
card_EDR_888,0.0
card_TSC_032,0.0
card_GDB_145,0.0
card_TLC_451,0.0
card_RLK_951,0.0
card_TOY_000,0.0
card_VAC_438,0.0
card_SC_400,0.0
card_CORE_CS2_028,0.0
card_RLK_543,0.0
card_END_036,0.0
card_GDB_100,0.0
card_VAC_956,0.0
card_WW_424,0.0
card_RLK_867,0.0
card_CORE_SW_072,0.0
card_TTN_715,0.0
card_RLK_707,0.0
card_WW_398,0.0
card_ETC_107,0.0
card_NX2_014,0.0
card_CORE_EX1_302,0.0
card_SC_410,0.0
card_CORE_REV_238,0.0
card_ETC_207,0.0
card_CORE_SW_068,0.0
card_VAC_946,0.0
card_GDB_456,0.0
card_SCH_428,0.0
card_EDR_889,0.0
card_WW_025,0.0
card_TOY_960,0.0
card_EDR_527,0.0
card_GDB_873,0.0
card_ETC_742,0.0
card_TSC_908,0.0
card_VAC_939,0.0
class_name_WARRIOR,0.0
class_name_SHAMAN,0.0
card_SC_764,0.0
card_WC_030,0.0
card_CORE_REV_021,0.0
card_GDB_902,0.0
class_name_WARLOCK,0.0
class_name_ROGUE,0.0
class_name_PRIEST,0.0
card_TOY_879,0.0
card_SC_752,0.0
card_TIME_444,0.0
card_MIS_710,0.0
card_CORE_BT_351,0.0
card_TSC_641,0.0
card_RLK_708,0.0
card_VAC_408,0.0
card_VAC_436,0.0
card_GDB_874,0.0
card_YOG_516,0.0
card_SCH_311,0.0
card_RLK_224,0.0
card_CFM_637,0.0
card_CORE_KAR_061,0.0
card_TIME_024,0.0
card_GDB_468,0.0
card_END_001,0.0
card_CORE_SW_066,0.0
card_CORE_RLK_118,0.0
card_TOY_375,0.0
card_WW_435,0.0
card_DRG_056,0.0
card_TLC_364,0.0
card_UNG_807,0.0
card_RLK_744,0.0
card_TTN_908,0.0
card_EDR_253,0.0
card_GDB_120,0.0
card_WORK_042,0.0
card_TOY_883,0.0
card_SC_759,0.0
card_SW_070,0.0
card_RLK_958,0.0
card_TLC_EVENT_402,0.0
card_CORE_EX1_050,0.0
card_NX2_050,0.0
card_RLK_060,0.0
card_GDB_857,0.0
card_TOY_807,0.0
card_SC_406,0.0
card_TTN_860,0.0
card_WW_344,0.0
card_SC_412,0.0
card_GDB_461,0.0
card_CORE_SCH_713,0.0
card_WW_336,0.0
card_TTN_039,0.0
card_CORE_WON_142,0.0
card_DINO_433,0.0
card_EDR_891,0.0
card_TIME_034,0.0
card_GDB_722,0.0
card_TOY_851,0.0
card_TIME_715,0.0
card_END_022,0.0
card_TSC_926,0.0
card_FP1_004,0.0
card_FP1_002,0.0
card_GDB_333,0.0
card_GDB_720,0.0
card_GVG_075,0.0
card_GDB_861,0.0
card_TIME_023,0.0
card_TOY_882,0.0
card_ETC_087,0.0
card_ETC_113,0.0
card_FP1_017,0.0
card_CORE_REV_308,0.0
card_VAC_419,0.0
card_EDR_817,0.0
card_ETC_201,0.0
card_EDR_814,0.0
card_MIS_101,0.0
card_WON_113,0.0
card_CORE_RLK_035,0.0
card_DMF_062,0.0
card_ETC_106,0.0
card_TIME_701,0.0
card_GDB_851,0.0
card_CORE_DMF_067,0.0
card_TIME_022,0.0
card_CORE_EX1_154,0.0
card_TOY_703,0.0
card_GDB_130,0.0
card_RLK_208,0.0
card_JAM_003,0.0
card_CORE_NEW1_020,0.0
card_GDB_470,0.0
card_CORE_BOT_548,0.0
card_RLK_018,0.0
card_TTN_712,0.0
card_DINO_415,0.0
card_CORE_RLK_121,0.0
card_CORE_NEW1_018,0.0
card_CORE_GIFT_01,0.0
card_SW_063,0.0
card_VAC_508,0.0
card_CORE_EX1_144,0.0
card_CORE_CS2_012,0.0
card_VAC_949,0.0
card_TOY_800,0.0
card_VAC_518,0.0
card_TOY_716,0.0
card_TLC_833,0.0
card_CORE_GIFT_10,0.0
card_RLK_831,0.0
class_name_DEATHKNIGHT,0.0
card_VAC_336,0.0
card_DINO_408,0.0
card_EDR_528,0.0
card_TOY_519,0.0
card_GDB_875,0.0
card_TIME_039,0.0
card_CORE_REV_019,0.0
card_YOG_411,0.0
card_VAC_523,0.0
card_VAC_460,0.0
card_DINO_407,0.0
card_GDB_472,0.0
card_MIS_903,0.0
card_TIME_711,0.0
class_name_DEMONHUNTER,0.0
class_name_DRUID,0.0
class_name_MAGE,0.0
